States;Date;Delegates;Haley;Trump;HOME
Virgin Islands;;4;25,8;74,2;
South Carolina;;50;39,5;59,8;x
New Hampshire;;13;43,2;54,4;
Nevada;;26;;99,1;
Missouri;;54;;100;
Michigan;;39;2,2;97,8;
Iowa;;40;19,1;51;
Idaho;;32;13,2;84,9;
D.C.;3;19;62,9;33,2;
North Dakota;4;29;;;
Alabama;5;50;;;
Alaska;5;29;;;
Arkansas;5;40;;;
California;5;169;;;
Colorado;5;37;;;
Maine;5;20;;;
Massachusetts;5;40;;;
Minnesota;5;39;;;
North Carolina;5;74;;;
Oklahoma;5;43;;;
Tennessee;5;58;;;
Texas;5;161;;;
Utah;5;40;;;
Vermont;5;17;;;
Virginia;5;48;;;
American Samoa;8;9;;;
Georgia;12;59;;;
Hawaii;12;19;;;
Mississippi;12;40;;;
Washington;12;43;;;
Northern Mariana Islands;15;9;;;
Guam;16;9;;;
Arizona;19;43;;;
Florida;19;125;;;
Illinois;19;64;;;
Kansas;19;39;;;
Ohio;19;79;;;
Louisiana;23;47;;;
Connecticut;2;28;;;
Delaware;2;16;;;
New York;2;91;;;
Rhode Island;2;19;;;
Wisconsin;2;41;;;
Puerto Rico;21;23;;;
Pennsylvania;23;67;;;
Indiana;7;58;;;
Maryland;14;37;;;
Nebraska;14;36;;;
Wyoming;14;23;;;
West Virginia;14;32;;;
Kentucky;21;46;;;
Oregon;21;31;;;
Montana;4;31;;;
New Jersey;4;12;;;
New Mexico;4;22;;;
South Dakota;4;29;;;